iter	MultiClass
0	4.339553313
1	4.334472751
2	4.329604421
3	4.323805848
4	4.319725317
5	4.315435861
6	4.310675081
7	4.306122357
8	4.301900695
9	4.297375233
10	4.293375191
11	4.287073751
12	4.282089413
13	4.27813496
14	4.273612496
15	4.269064359
16	4.265234762
17	4.259500027
18	4.255431845
19	4.251772428
20	4.247404143
21	4.243065021
22	4.237179449
23	4.232556063
24	4.227797457
25	4.222392052
26	4.217677556
27	4.212270847
28	4.208050249
29	4.20352035
30	4.198854297
31	4.193548944
32	4.18906576
33	4.183427028
34	4.178324118
35	4.17397096
36	4.169993498
37	4.16627982
38	4.161847727
39	4.15695325
40	4.153041754
41	4.148762237
42	4.145150964
43	4.139959833
44	4.135417378
45	4.131526838
46	4.127444842
47	4.123165593
48	4.119063053
49	4.115456403
50	4.110669265
51	4.106440461
52	4.101738579
53	4.09745881
54	4.09259572
55	4.088141685
56	4.083423943
57	4.079598445
58	4.076375265
59	4.072171147
60	4.068039021
61	4.063685427
62	4.059192889
63	4.055202497
64	4.050164969
65	4.046064728
66	4.041628532
67	4.037877623
68	4.033449556
69	4.029502459
70	4.025356478
71	4.02001311
72	4.015877239
73	4.012357418
74	4.008259867
75	4.003619806
76	3.999352587
77	3.994938779
78	3.990900048
79	3.987154381
80	3.982972917
81	3.979150351
82	3.975748739
83	3.972080631
84	3.968500576
85	3.964356931
86	3.960462318
87	3.95661989
88	3.952842937
89	3.949430393
90	3.945099965
91	3.940162759
92	3.936061542
93	3.931757621
94	3.927892957
95	3.924254161
96	3.920618459
97	3.916046109
98	3.911666331
99	3.907854785
100	3.904812137
101	3.900919716
102	3.897477789
103	3.893598083
104	3.889185517
105	3.885128268
106	3.881333449
107	3.877669159
108	3.873835542
109	3.870318332
110	3.86570652
111	3.8619323
112	3.858537406
113	3.854477779
114	3.850173101
115	3.847081473
116	3.843241293
117	3.840108437
118	3.836447723
119	3.832599824
120	3.829373887
121	3.825746379
122	3.821987095
123	3.818195457
124	3.81479801
125	3.810593132
126	3.806859465
127	3.803474169
128	3.79977908
129	3.796428556
130	3.793129516
131	3.789515297
132	3.785520661
133	3.781930802
134	3.778649551
135	3.775484454
136	3.771886861
137	3.76912793
138	3.765667438
139	3.762811211
140	3.759541378
141	3.756461572
142	3.752661852
143	3.749476211
144	3.746095632
145	3.742378419
146	3.737806418
147	3.734476647
148	3.730352028
149	3.726833205
150	3.723674361
151	3.720600559
152	3.717163664
153	3.713649271
154	3.710599859
155	3.70727558
156	3.703858377
157	3.700559647
158	3.697480797
159	3.694618417
160	3.691315277
161	3.687747707
162	3.684439426
163	3.681324518
164	3.678530222
165	3.675400094
166	3.672304502
167	3.66928706
168	3.665654266
169	3.662747825
170	3.659866568
171	3.656097214
172	3.652980936
173	3.649819365
174	3.646777401
175	3.642894906
176	3.639774497
177	3.636099703
178	3.633103609
179	3.630147359
180	3.626775345
181	3.623496052
182	3.620455377
183	3.617456067
184	3.614495412
185	3.611040588
186	3.608144119
187	3.605244907
188	3.601338175
189	3.598264565
190	3.595075642
191	3.592041245
192	3.589127594
193	3.586219524
194	3.583649281
195	3.581043703
196	3.578547247
197	3.575592271
198	3.572500121
199	3.569257172
200	3.566051967
201	3.562885049
202	3.560023481
203	3.556944359
