iter	Passed	Remaining
0	175	174888
1	199	99419
2	220	73252
3	242	60304
4	248	49407
5	272	45092
6	294	41747
7	317	39360
8	341	37639
9	373	36954
10	398	35788
11	422	34787
12	445	33832
13	467	32959
14	489	32164
15	509	31345
16	536	31013
17	557	30436
18	579	29896
19	599	29361
20	618	28835
21	642	28582
22	656	27901
23	676	27502
24	698	27260
25	719	26969
26	741	26734
27	762	26461
28	788	26416
29	811	26234
30	830	25968
31	849	25711
32	871	25530
33	891	25323
34	912	25163
35	934	25029
36	953	24822
37	977	24738
38	1000	24656
39	1019	24478
40	1042	24382
41	1064	24282
42	1084	24142
43	1103	23978
44	1128	23939
45	1149	23838
46	1174	23811
47	1194	23687
48	1214	23568
49	1234	23463
50	1257	23400
51	1282	23379
52	1306	23338
53	1331	23318
54	1352	23244
55	1375	23189
56	1395	23081
57	1415	22989
58	1436	22911
59	1458	22844
60	1478	22763
61	1498	22668
62	1516	22560
63	1540	22535
64	1565	22517
65	1589	22488
66	1611	22445
67	1636	22433
68	1656	22356
69	1676	22279
70	1702	22276
71	1723	22219
72	1745	22166
73	1767	22119
74	1791	22090
75	1813	22052
76	1833	21983
77	1853	21904
78	1872	21832
79	1892	21764
80	1912	21698
81	1935	21669
82	1964	21698
83	1985	21647
84	2010	21644
85	2031	21592
86	2053	21553
87	2074	21504
88	2094	21440
89	2114	21380
90	2137	21354
91	2157	21294
92	2177	21237
93	2197	21177
94	2222	21169
95	2243	21130
96	2264	21082
97	2285	21033
98	2307	20998
99	2330	20973
100	2355	20963
101	2376	20925
102	2399	20893
103	2418	20835
104	2438	20785
105	2460	20750
106	2482	20716
107	2505	20697
108	2525	20642
109	2544	20588
110	2563	20532
111	2584	20490
112	2604	20442
113	2622	20384
114	2642	20332
115	2654	20226
116	2672	20171
117	2693	20129
118	2714	20097
119	2734	20056
120	2755	20019
121	2775	19974
122	2795	19935
123	2816	19900
124	2836	19852
125	2855	19810
126	2877	19779
127	2895	19722
128	2913	19668
129	2931	19615
130	2949	19566
131	2971	19537
132	2992	19506
133	3016	19492
134	3035	19450
135	3054	19407
136	3073	19357
137	3093	19323
138	3114	19290
139	3135	19262
140	3156	19229
141	3175	19188
142	3193	19141
143	3212	19094
144	3230	19050
145	3248	19001
146	3267	18959
147	3288	18931
148	3306	18886
149	3326	18848
150	3348	18824
151	3369	18796
152	3389	18762
153	3414	18759
154	3438	18743
155	3458	18709
156	3479	18684
157	3498	18643
158	3518	18609
159	3538	18577
160	3559	18549
161	3579	18518
162	3598	18475
163	3617	18440
164	3627	18354
165	3646	18320
166	3664	18277
167	3682	18235
168	3701	18200
169	3720	18163
170	3741	18137
171	3759	18097
172	3777	18057
173	3795	18017
174	3814	17980
175	3834	17952
176	3858	17939
177	3879	17917
178	3899	17883
179	3920	17860
180	3940	17829
181	3958	17790
182	3977	17756
183	3995	17721
184	4015	17690
185	4035	17659
186	4057	17640
187	4077	17612
188	4097	17583
189	4117	17554
190	4142	17545
191	4170	17548
192	4191	17524
193	4209	17490
194	4228	17454
195	4248	17426
196	4268	17398
197	4289	17372
198	4309	17344
199	4328	17312
200	4347	17280
201	4366	17249
202	4385	17217
203	4406	17195
204	4425	17163
205	4444	17130
206	4463	17100
207	4483	17071
208	4503	17044
209	4521	17010
210	4528	16932
211	4551	16917
212	4570	16888
213	4589	16857
214	4609	16831
215	4628	16800
216	4647	16770
217	4666	16738
218	4685	16709
219	4709	16696
220	4730	16672
221	4749	16645
222	4768	16615
223	4787	16586
224	4807	16560
225	4827	16533
226	4848	16509
227	4867	16482
228	4888	16457
229	4908	16433
230	4928	16407
231	4947	16376
232	4965	16345
233	4984	16316
234	5003	16286
235	5022	16259
236	5040	16227
237	5059	16199
238	5079	16174
239	5099	16148
240	5117	16117
241	5139	16097
242	5162	16081
243	5186	16068
244	5205	16042
245	5224	16013
246	5243	15986
247	5265	15967
248	5284	15939
249	5307	15922
250	5328	15901
251	5347	15873
252	5366	15845
253	5384	15814
254	5402	15783
255	5421	15757
256	5445	15742
257	5468	15727
258	5489	15704
259	5508	15677
260	5528	15653
261	5553	15643
262	5573	15617
263	5593	15594
264	5612	15567
265	5630	15537
266	5649	15509
267	5671	15489
268	5691	15466
269	5714	15449
270	5737	15434
271	5758	15411
272	5777	15385
273	5797	15360
274	5817	15337
275	5836	15309
276	5863	15305
277	5889	15294
278	5910	15274
279	5929	15246
280	5948	15219
281	5968	15195
282	5987	15169
283	6009	15151
284	6031	15131
285	6050	15104
286	6069	15078
287	6088	15052
288	6107	15024
289	6125	14997
290	6146	14976
291	6167	14953
292	6186	14927
293	6205	14901
294	6225	14876
295	6243	14848
296	6261	14821
297	6280	14795
298	6300	14771
299	6319	14746
300	6338	14719
301	6357	14694
302	6376	14668
303	6398	14648
304	6417	14622
305	6441	14608
306	6460	14584
307	6480	14560
308	6500	14537
309	6519	14510
310	6538	14486
311	6557	14459
312	6576	14435
313	6597	14413
314	6616	14387
315	6637	14366
316	6656	14340
317	6675	14317
318	6694	14291
319	6713	14266
320	6733	14242
321	6753	14219
322	6771	14193
323	6789	14166
324	6807	14139
325	6827	14115
326	6848	14095
327	6867	14070
328	6886	14045
329	6905	14020
330	6924	13994
331	6944	13971
332	6964	13949
333	6983	13924
334	7001	13899
335	7021	13874
336	7040	13851
337	7059	13826
338	7078	13801
339	7099	13781
340	7119	13758
341	7138	13733
342	7156	13707
343	7174	13682
344	7195	13661
345	7214	13635
346	7232	13609
347	7249	13583
348	7268	13557
349	7287	13533
350	7306	13510
351	7326	13487
352	7345	13463
353	7365	13440
354	7383	13415
355	7402	13391
356	7421	13367
357	7441	13344
358	7459	13319
359	7478	13295
360	7499	13274
361	7518	13250
362	7537	13227
363	7559	13208
364	7580	13188
365	7600	13166
366	7621	13145
367	7641	13123
368	7661	13100
369	7680	13077
370	7702	13059
371	7722	13037
372	7743	13015
373	7761	12991
374	7781	12968
375	7800	12945
376	7820	12922
377	7841	12903
378	7861	12880
379	7883	12862
380	7902	12839
381	7922	12817
382	7942	12794
383	7962	12772
384	7980	12747
385	7999	12724
386	8021	12705
387	8041	12684
388	8063	12665
389	8084	12644
390	8103	12622
391	8123	12599
392	8142	12576
393	8162	12554
394	8181	12530
395	8199	12505
396	8217	12481
397	8237	12458
398	8257	12437
399	8278	12417
400	8298	12396
401	8320	12377
402	8340	12355
403	8361	12335
404	8380	12311
405	8389	12273
406	8409	12252
407	8428	12229
408	8447	12207
409	8466	12183
410	8485	12159
411	8504	12137
412	8525	12116
413	8543	12092
414	8563	12071
415	8583	12049
416	8603	12028
417	8621	12004
418	8639	11980
419	8660	11959
420	8679	11936
421	8697	11912
422	8718	11892
423	8742	11876
424	8759	11851
425	8777	11827
426	8798	11806
427	8817	11784
428	8836	11761
429	8855	11738
430	8877	11719
431	8897	11698
432	8918	11677
433	8937	11656
434	8958	11635
435	8979	11616
436	8999	11593
437	9017	11570
438	9037	11549
439	9057	11527
440	9076	11504
441	9095	11482
442	9113	11458
443	9132	11436
444	9152	11415
445	9172	11393
446	9191	11371
447	9210	11348
448	9229	11325
449	9247	11302
450	9268	11281
451	9286	11259
452	9306	11237
453	9326	11216
454	9345	11193
455	9365	11172
456	9384	11150
457	9403	11128
458	9422	11105
459	9441	11083
460	9462	11063
461	9481	11040
462	9503	11021
463	9526	11004
464	9547	10984
465	9568	10964
466	9587	10942
467	9608	10922
468	9628	10901
469	9647	10879
470	9667	10857
471	9688	10837
472	9707	10816
473	9732	10800
474	9753	10780
475	9772	10757
476	9790	10734
477	9810	10713
478	9828	10690
479	9848	10668
480	9868	10648
481	9892	10631
482	9911	10609
483	9929	10586
484	9948	10563
485	9967	10542
486	9987	10521
487	10012	10505
488	10032	10484
489	10051	10461
490	10069	10438
491	10088	10416
492	10108	10395
493	10128	10374
494	10148	10353
495	10171	10335
496	10190	10313
